Latitude	Longitude
31.76478	-106.267641
31.765026	-106.267644
31.765274	-106.267646
31.765521	-106.267648
31.765771	-106.267653
31.766021	-106.267655
31.766272	-106.267661
31.766519	-106.267666
31.766766	-106.26767
31.767007	-106.267672
31.767251	-106.267674
31.76749	-106.267677
31.767731	-106.26768
31.767971	-106.267683
31.768211	-106.267686
31.76845	-106.267687
31.768688	-106.267686
31.768926	-106.267689
31.769164	-106.267689
31.769402	-106.267691
31.76964	-106.267694
31.769879	-106.267698
31.770119	-106.267701
31.770361	-106.267702
31.770601	-106.267704
31.770841	-106.26771
31.771083	-106.267716
31.771327	-106.267717
31.771572	-106.267714
31.771816	-106.267715
31.772059	-106.26772
31.772301	-106.267724
31.772544	-106.267728
31.772789	-106.267733
31.773034	-106.267736
31.773278	-106.26774
31.773525	-106.267746
31.773767	-106.26775
31.774009	-106.267755
31.77425	-106.26776
31.77449	-106.267764
31.77473	-106.267766
31.774967	-106.267767
31.775202	-106.267767
31.775435	-106.267769
31.775666	-106.267769
31.775896	-106.26777
31.776125	-106.267773
31.776354	-106.267774
31.776583	-106.267778
31.776812	-106.267782
31.777039	-106.267786
31.777268	-106.267788
31.777497	-106.267791
31.777728	-106.26779
31.777958	-106.267789
31.778191	-106.267791
31.778424	-106.267793
31.778661	-106.267794
31.778899	-106.267797
31.779138	-106.267801
31.779379	-106.267804
31.779621	-106.267808
31.779862	-106.267813
31.780104	-106.267817
31.780348	-106.267819
31.780593	-106.267823
31.780838	-106.267829
31.781085	-106.267831
31.781332	-106.267833
31.781577	-106.267836
31.781821	-106.267838
31.782067	-106.26784
31.78231	-106.267845
31.782552	-106.267847
31.782791	-106.267851
31.783025	-106.267855
31.783257	-106.267859
31.783485	-106.267862
31.783713	-106.26786
31.783937	-106.267861
31.784158	-106.267861
31.784379	-106.267861
31.784602	-106.267862
31.784825	-106.267864
31.785048	-106.267871
31.785274	-106.267874
31.785501	-106.267879
31.78573	-106.267882
31.785962	-106.267887
31.786193	-106.267892
31.786422	-106.267894
31.786651	-106.267897
31.786882	-106.267902
31.787114	-106.267902
31.787346	-106.267903
31.787579	-106.267906
31.787813	-106.267908
31.788046	-106.267914
31.788281	-106.267918
31.788517	-106.267921
31.788755	-106.267922
31.788992	-106.267922
31.789229	-106.267927
31.789467	-106.267929
31.789702	-106.267933
31.789937	-106.267937
31.790171	-106.26794
31.790406	-106.267941
31.790637	-106.267941
31.790868	-106.267944
31.791098	-106.267943
31.791326	-106.267945
31.791554	-106.267948
31.791783	-106.267949
31.792011	-106.267951
31.79224	-106.267953
31.792465	-106.267956
31.792692	-106.267958
31.792921	-106.267959
31.79315	-106.267961
31.793379	-106.267961
31.793608	-106.267961
31.793839	-106.267964
31.794071	-106.267967
31.794305	-106.267969
31.79454	-106.267971
31.794778	-106.267973
31.795018	-106.267975
31.795259	-106.267977
31.795502	-106.267982
31.795747	-106.267986
31.795994	-106.26799
31.796241	-106.267992
31.796488	-106.267997
31.796734	-106.267999
31.79698	-106.268002
31.797228	-106.268005
31.797474	-106.268013
31.79772	-106.268018
31.797968	-106.268019
31.798215	-106.268018
31.798461	-106.26802
31.79871	-106.268022
31.798958	-106.268025
31.799208	-106.268028
31.799456	-106.268031
31.799705	-106.268031
31.799955	-106.268033
31.800208	-106.268035
31.800461	-106.268037
31.800711	-106.268037
31.800963	-106.268039
31.801215	-106.268041
31.801467	-106.268045
31.80172	-106.268043
31.801972	-106.268041
31.802224	-106.268044
31.802477	-106.268046
31.802731	-106.26805
31.802984	-106.268052
31.803236	-106.268052
31.803489	-106.268051
31.803741	-106.268055
31.803994	-106.268058
31.804245	-106.26806
31.804494	-106.268068
31.804742	-106.268072
31.804988	-106.268076
31.805234	-106.26808
31.805479	-106.268085
31.805724	-106.268087
31.805968	-106.268089
31.806213	-106.268088
31.806456	-106.268088
31.806699	-106.268092
31.80694	-106.268096
31.807182	-106.268099
31.807423	-106.268105
31.807665	-106.268111
31.807904	-106.268116
31.808147	-106.26812
31.808387	-106.268124
31.80863	-106.268126
31.808873	-106.268129
31.809116	-106.268132
31.809362	-106.268133
31.80961	-106.268133
31.809858	-106.268134
31.810107	-106.268136
31.810357	-106.268138
31.810605	-106.268142
31.810858	-106.268146
31.811108	-106.268149
31.811359	-106.268148
31.811613	-106.268149
31.811867	-106.268152
31.812119	-106.268153
31.81237	-106.268156
31.812621	-106.268157
31.812874	-106.268159
31.813127	-106.268162
31.813382	-106.268168
31.813636	-106.268171
31.81389	-106.268172
31.814147	-106.268178
31.814403	-106.268183
31.814659	-106.268194
31.814914	-106.268212
31.815167	-106.268241
31.815418	-106.26828
31.815666	-106.268335
31.815907	-106.268409
31.816146	-106.268495
